id,title,description,ingredients,image
1,Iced Coffee,"A coffee with ice, typically served with a dash of milk, cream or sweetenerâ€”iced coffee is really as simple as that.","['Coffee', 'Ice', 'Sugar*', 'Cream*']",https://upload.wikimedia.org/wikipedia/commons/d/d8/Blue_Bottle%2C_Kyoto_Style_Ice_Coffee_%285909775445%29.jpg
2,Iced Espresso,"Like an iced coffee, iced espresso can be served straight or with a dash of milk, cream or sweetener. You can also ice speciality espresso-based drinks like americanos, mochas, macchiatos, lattes and flat whites.","['Espresso', 'Ice', 'Sugar*', 'Cream*']",https://upload.wikimedia.org/wikipedia/commons/b/b0/Home_Made_Ice_Coffee.jpg
3,Cold Brew,"The trendiest of the iced coffee bunch, cold brew coffees are made by steeping coffee beans from anywhere between 6-36 hours, depending on how strong you would like your cold brew. Once the beans are done steeping, add cold milk or cream.","['Long steeped coffee', 'Ice']",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/ColdBrewCoffeein_Cans.png/640px-ColdBrewCoffeein_Cans.png
4,Frappuccino,"Made famous by Starbucks, the Frappuccino is a blended iced coffee drink thatâ€™s topped with whipped cream and syrup. ","['Espresso', 'Blended ice', 'Whip*']",https://upload.wikimedia.org/wikipedia/commons/2/2c/Strawberry_Delight_Frappuccino.JPG
5,Nitro,"A cold brew + nitrogen bubbles = a cold brew coffee with a frothy, Guinness-like consistency. (Itâ€™s poured via a nitro tap, too.)","['Coffee', 'Nitrogen bubbles', 'Sugar*', 'Cream*']",https://upload.wikimedia.org/wikipedia/commons/7/76/Nitro_Cold_Brew.jpg
6,Mazagran,"Mazagran coffee is a cross between iced coffee, tea and your favorite rum drink. It typically consists of espresso, lemon, sugar and (sometimes) rum.","['Coffee', 'Sugar', 'Lemon', 'Rum*']",https://upload.wikimedia.org/wikipedia/commons/c/c1/Caf%C3%A9_mazagran.jpg
